Название кампании;Группа объявлений;Регион;Ключевая фраза;Тип соответствия;Заголовок 1;Заголовок 2;Текст объявления;Отображаемая ссылка;Ссылка на сайт;Быстрая ссылка 1 - Текст;Быстрая ссылка 2 - Текст;Быстрая ссылка 3 - Текст;Быстрая ссылка 4 - Текст
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;срочно продать машину хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=srochno_prodaty";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;выкуп авто хабаровск срочно;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=vikup_srochno";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;куда продать авто хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=kuda_prodaty";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;продать машину срочно за наличные;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/srochnyj-vykup-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=za_nalichniye";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;автовыкуп хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=avtovikup";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп битых авто хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=bitie";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп авто после дтп хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=posle_dtp";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп аварийных авто хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=avarijnie";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;выкуп кредитных авто хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=kreditnie";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;продать машину в кредите хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=prodaty_kredit";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;выкуп авто с долгом хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=s_dolgom";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
Поиск - Тёплый спрос;Общий выкуп;Хабаровск;выкуп авто хабаровск;Фразовое;"Выкупаем авто на 15% дороже";"Оценка за 5 минут онлайн";"Честная оценка по рынку. Деньги сразу. Оформление 30 минут. Работаем по всему Хабаровскому краю. 4.9★ (400+ отзывов)";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=vikup_avto";"Калькулятор стоимости";"Отзывы клиентов";"Комсомольск";"Амурск"
Поиск - Тёплый спрос;Общий выкуп;Хабаровск;скупка авто хабаровск;Фразовое;"Выкупаем авто на 15% дороже";"Оценка за 5 минут онлайн";"Честная оценка по рынку. Деньги сразу. Оформление 30 минут. Работаем по всему Хабаровскому краю. 4.9★ (400+ отзывов)";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=skupka";"Калькулятор стоимости";"Отзывы клиентов";"Комсомольск";"Амурск"
Поиск - Тёплый спрос;Общий выкуп;Хабаровск;выкуп автомобилей хабаровск;Фразовое;"Выкупаем авто на 15% дороже";"Оценка за 5 минут онлайн";"Честная оценка по рынку. Деньги сразу. Оформление 30 минут. Работаем по всему Хабаровскому краю. 4.9★ (400+ отзывов)";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=vikup_avtomobiley";"Калькулятор стоимости";"Отзывы клиентов";"Комсомольск";"Амурск"
Поиск - Тёплый спрос;Общий выкуп;Хабаровск;продать авто дорого хабаровск;Фразовое;"Выкупаем авто на 15% дороже";"Оценка за 5 минут онлайн";"Честная оценка по рынку. Деньги сразу. Оформление 30 минут. Работаем по всему Хабаровскому краю. 4.9★ (400+ отзывов)";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=prodaty_dorogo";"Калькулятор стоимости";"Отзывы клиентов";"Комсомольск";"Амурск"
Поиск - Тёплый спрос;Оценка;Хабаровск;оценка авто хабаровск;Фразовое;"Оценка авто онлайн за 5 минут";"Бесплатно и без обязательств";"Узнайте реальную стоимость вашего авто прямо сейчас. Оценка по фото. Предложим на 15% выше рынка. Деньги сразу после осмотра.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/evaluation?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=ocenka";"Оценить онлайн";"Как это работает";"Отзывы";"Позвонить"
Поиск - Тёплый спрос;Оценка;Хабаровск;оценка стоимости авто хабаровск;Фразовое;"Оценка авто онлайн за 5 минут";"Бесплатно и без обязательств";"Узнайте реальную стоимость вашего авто прямо сейчас. Оценка по фото. Предложим на 15% выше рынка. Деньги сразу после осмотра.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/evaluation?utm_source=yandex&utm_medium=cpc&utm_campaign=search_warm&utm_term=stoimosty";"Оценить онлайн";"Как это работает";"Отзывы";"Позвонить"
Поиск - Города;Комсомольск;Комсомольск-на-Амуре;выкуп авто комсомольск на амуре;Фразовое;"Выкуп авто Комсомольск-на-Амуре";"За 15 минут. Деньги сразу!";"Срочный выкуп автомобилей в Комсомольске. Бесплатный выезд оценщика. Битые, кредитные, без документов. На 15% дороже конкурентов.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/komsomolsk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=komsomolsk";"Узнать цену";"Битые авто";"Кредитные";"Позвонить"
Поиск - Города;Комсомольск;Комсомольск-на-Амуре;автовыкуп комсомольск;Фразовое;"Выкуп авто Комсомольск-на-Амуре";"За 15 минут. Деньги сразу!";"Срочный выкуп автомобилей в Комсомольске. Бесплатный выезд оценщика. Битые, кредитные, без документов. На 15% дороже конкурентов.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/komsomolsk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=komsomolsk_avto";"Узнать цену";"Битые авто";"Кредитные";"Позвонить"
Поиск - Города;Амурск;Амурск;выкуп авто амурск;Фразовое;"Выкуп авто Амурск за 15 минут";"На 15% дороже конкурентов";"Срочный выкуп автомобилей в Амурске. Бесплатный выезд. Оценка за 15 минут. Битые, кредитные, без документов. Деньги сразу.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/amursk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=amursk";"Оценить авто";"Как это работает";"Отзывы";"Позвонить"
Поиск - Города;Амурск;Амурск;автовыкуп амурск;Фразовое;"Выкуп авто Амурск за 15 минут";"На 15% дороже конкурентов";"Срочный выкуп автомобилей в Амурске. Бесплатный выезд. Оценка за 15 минут. Битые, кредитные, без документов. Деньги сразу.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/amursk?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=amursk_avto";"Оценить авто";"Как это работает";"Отзывы";"Позвонить"
Поиск - Города;Советская Гавань;Советская Гавань;выкуп авто советская гавань;Фразовое;"Выкуп авто Советская Гавань";"Бесплатный выезд по району";"Срочный выкуп автомобилей в Советской Гавани. Приедем в любой район. Оценка бесплатно. Битые, кредитные. Деньги сразу.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/sovetskaya-gavan?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=sovgavan";"Узнать цену";"Битые авто";"Выезд бесплатно";"Позвонить"
Поиск - Города;Бикин;Бикин;выкуп авто бикин;Фразовое;"Выкуп авто Бикин за 15 минут";"Деньги сразу наличными";"Срочный выкуп автомобилей в Бикине. Битые, кредитные, без документов. Оценка бесплатно. Работаем без выходных.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/bikin?utm_source=yandex&utm_medium=cpc&utm_campaign=search_cities&utm_term=bikin";"Оценить авто";"Битые авто";"Отзывы";"Позвонить"
Поиск - Специальные;Без документов;Хабаровск;выкуп авто без документов хабаровск;Фразовое;"Выкуп авто без документов";"Поможем восстановить документы";"Покупаем авто без ПТС и СТС. Помогаем с восстановлением документов. Работаем законно. Деньги сразу после оформления.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=bez_dokumentov";"Без документов";"Как это работает";"Оценить авто";"Позвонить"
Поиск - Специальные;Не на ходу;Хабаровск;выкуп авто не на ходу хабаровск;Фразовое;"Выкуп авто не на ходу";"Эвакуация бесплатно!";"Покупаем авто с любыми неисправностями. Не заводится, не едет — не проблема. Эвакуатор за наш счёт. Оценка на месте.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=ne_na_hodu";"Не на ходу";"Эвакуация";"Оценка";"Позвонить"
Поиск - Специальные;После ДТП;Хабаровск;продать машину после дтп хабаровск;Фразовое;"Выкуп авто после ДТП дорого";"Оценка за 15 минут";"Покупаем битые автомобили после любых ДТП. Оценка по реальной стоимости. Деньги сразу наличными. Эвакуация бесплатно.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_special&utm_term=posle_dtp_prodaty";"После ДТП";"Оценить битое";"Эвакуация";"Позвонить"